time,a,b,C,t,a_after,b_after
1,200.5,40.66,,1,200.5,40.66
2,200,41,,2,200,41
3,200,41,,3,200,41
4,200,41,,4,200,41
5,200,41,,5,200,41
6,200,41,,6,200,41
7,200,41,,7,200,41
8,200,41,,8,200,41
9,201.2,41,,9,201.2,41
10,200.5,41,,10,200.5,41
11,200.7,41,,11,200.7,41
12,201,41,,12,201,41
13,200.8,41,,13,200.8,41
14,200.2,41,,14,200.2,41
15,200.3,41,,15,200.3,41
16,200,41,,16,200,41
17,200,41,,17,200,41
18,199.5,41,,18,199.5,41
19,200.1,41,,19,200.1,41
20,199.7,41,,20,199.7,41
21,199.2,41,,21,199.2,41
22,198.6,41,,22,198.6,41
23,199.2,41,,23,199.2,41
24,199.3,41,,24,199.3,41
25,199,41,,25,199,41
26,199,41,,26,199,41
27,199,41,,27,199,41
28,200.4,40.77,,28,200.4,40.77
29,200.5,41,,29,200.5,41
30,200,41,,30,200,41
31,201.3,41,,31,201.3,41
32,201.5,41,,32,201.5,41
33,200.6,40.75,,33,200.6,40.75
34,200.5,41,,34,200.5,41
35,200,41,,35,200,41
36,200,41,,36,200,41
37,201.5,41,,37,201.5,41
38,201,41,,38,201,41
39,200.8,41,,39,200.8,41
40,201.5,41,,40,201.5,41
41,200.5,41,,41,200.5,41
42,200.2,41,,42,200.2,41
43,201.6,41,,43,201.6,41
44,202,41,,44,202,41
45,202,41,,45,202,41
46,202,41,,46,202,41
47,202.1,41,,47,202.1,41
48,202,41,,48,202,41
49,201.3,41,,49,201.3,41
50,201.1,41,,50,201.1,41
51,200.5,41,,51,200.5,41
52,201.5,41,,52,201.5,41
53,202.2,41,,53,202.2,41
54,202,41,,54,202,41
55,202,41,,55,202,41
56,202.1,41,,56,202.1,41
57,201.5,41,,57,201.5,41
58,201.6,41,,58,201.6,41
59,201.7,40.77,,59,201.7,40.77
60,200.1,41,,60,200.1,41
61,201,40.75,,61,201,40.75
62,200.5,41,,62,200.5,41
63,200,41,,63,200,41
64,200,41,,64,200,41
65,200,41,,65,200,41
66,201.1,41,,66,201.1,41
67,200.8,41,,67,200.8,41
68,201.4,41,,68,201.4,41
69,201.7,41,,69,201.7,41
70,202,41,,70,202,41
71,201.9,41,,71,201.9,41
72,202.6,41,,72,202.6,41
73,203,41,,73,203,41
74,203,41,,74,203,41
75,203,41,,75,203,41
76,202.4,41,,76,202.4,41
77,202.6,41,,77,202.6,41
78,201.7,41,,78,201.7,41
79,202,41,,79,202,41
80,201.6,41,,80,201.6,41
81,202.1,41,,81,202.1,41
82,201.4,40.77,,82,201.4,40.77
83,201,41,,83,201,41
84,201,41,,84,201,41
85,202.1,41,,85,202.1,41
86,202.4,41,,86,202.4,41
87,202.1,40.75,,87,202.1,40.75
88,202.6,41,,88,202.6,41
89,203,41,,89,203,41
90,203,41,,90,203,41
91,202.9,41,,91,202.9,41
92,203,41,,92,203,41
93,203,41,,93,203,41
94,203,41,,94,203,41
95,202.8,41,,95,202.8,41
96,203.7,41,,96,203.7,41
97,203.1,41,,97,203.1,41
98,202.7,41,,98,202.7,41
99,203,41,,99,203,41
100,202.9,41,,100,202.9,41
101,203,41,,101,203,41
102,203,41,,102,203,41
103,203,41,,103,203,41
104,202.3,41,,104,202.3,41
105,201.4,41,,105,201.4,41
106,202.7,41,,106,202.7,41
107,202.2,41,,107,202.2,41
108,203.9,40.77,,108,203.9,40.77
109,202.8,40.75,,109,202.8,40.75
110,203.1,41,,110,203.1,41
111,203,41,,111,203,41
112,203,41,,112,203,41
113,202.4,40.77,,113,202.4,40.77
114,202,41,,114,202,41
115,203.4,40.75,,115,203.4,40.75
116,203.9,41,,116,203.9,41
117,202.5,41,,117,202.5,41
118,202.8,41,,118,202.8,41
119,203.5,41,,119,203.5,41
120,204,41,,120,204,41
121,203.5,40.75,,121,203.5,40.75
122,202,40.77,,122,202,40.77
123,201.9,41,,123,201.9,41
124,203.1,40.75,,124,203.1,40.75
125,203,41,,125,203,41
126,202.9,41,,126,202.9,41
127,202.2,41,,127,202.2,41
128,202.5,41,,128,202.5,41
129,202,41,,129,202,41
130,202,41,,130,202,41
131,202,41,,131,202,41
132,201.5,41,,132,201.5,41
133,202.5,40.77,,133,202.5,40.77
134,201.9,41,,134,201.9,41
135,202.2,41,,135,202.2,41
136,201.4,40.75,,136,201.4,40.75
137,201.2,41,,137,201.2,41
138,201,41,,138,201,41
139,201,41,,139,201,41
140,201,41,,140,201,41
141,201.9,41,,141,201.9,41
142,202,41,,142,202,41
143,201.8,40.77,,143,201.8,40.77
144,202,41,,144,202,41
145,201.9,41,,145,201.9,41
146,200.7,40.75,,146,200.7,40.75
147,201.2,41,,147,201.2,41
148,201,41,,148,201,41
149,201,41,,149,201,41
150,201,41,,150,201,41
151,200.6,41,,151,200.6,41
152,200.8,41,,152,200.8,41
153,201,41,,153,201,41
154,200.9,41,,154,200.9,41
155,200.6,40.77,,155,200.6,40.77
156,200.7,40.75,,156,200.7,40.75
157,202.1,41,,157,202.1,41
158,202,41,,158,202,41
159,202,41,,159,202,41
160,201.8,41,,160,201.8,41
161,202.6,41,,161,202.6,41
162,202.7,41,,162,202.7,41
163,203,41,,163,203,41
164,203,41,,164,203,41
165,203,41,,165,203,41
166,202,41,,166,202,41
167,200.8,41,,167,200.8,41
168,201,41,,168,201,41
169,201,41,,169,201,41
170,201.4,41,,170,201.4,41
171,201.3,41,,171,201.3,41
172,202.3,41,,172,202.3,41
173,203,41,,173,203,41
174,203.4,41,,174,203.4,41
175,204.5,41,,175,204.5,41
176,202.4,41,,176,202.4,41
177,202,41,,177,202,41
178,202,41,,178,202,41
179,201.8,41,,179,201.8,41
180,202,41,,180,202,41
181,203,40.75,,181,203,40.75
182,204.1,41,,182,204.1,41
183,204,41,,183,204,41
184,203.5,41,,184,203.5,41
185,203.1,41,,185,203.1,41
186,202.6,41,,186,202.6,41
187,203,41,,187,203,41
188,202.8,41,,188,202.8,41
189,203.6,40.77,,189,203.6,40.77
190,204.3,41,,190,204.3,41
191,204,41,,191,204,41
192,203.3,40.75,,192,203.3,40.75
193,202.6,40,,193,202.6,40
194,202.8,39.01,,194,202.8,39.01
195,203,39,,195,203,39
196,203,39,,196,203,39
197,203,39,,197,203,39
198,196.5,37.16,,198,196.5,37.16
199,188.4,36.21,,199,188.4,36.21
200,188,36,,200,188,36
201,182.8,35.91,,201,182.8,35.91
202,178.8,35.63,,202,178.8,35.63
203,176.3,35.5,,203,176.3,35.5
204,175.7,35.48,,204,175.7,35.48
205,176,35,,205,176,35
206,176,35,,206,176,35
207,171.3,35.08,,207,171.3,35.08
208,170.9,35,,208,170.9,35
209,171,35,,209,171,35
210,170.7,35,,210,170.7,35
211,170,35,,211,170,35
212,170.8,35,,212,170.8,35
213,171.1,35,,213,171.1,35
214,171,35,,214,171,35
215,171,35,,215,171,35
216,170.1,34.98,,216,170.1,34.98
217,169.5,35,,217,169.5,35
218,170,35,,218,170,35
219,170,35,,219,170,35
220,170.2,35,,220,170.2,35
221,169.7,35,,221,169.7,35
222,169.6,35,,222,169.6,35
223,169.3,35,,223,169.3,35
224,169,35,,224,169,35
225,169,35,,225,169,35
226,170.1,35,,226,170.1,35
227,170,35,,227,170,35
228,169.8,35,,228,169.8,35
229,169.4,35,,229,169.4,35
230,170.2,35,,230,170.2,35
231,169.8,35,,231,169.8,35
232,170,35,,232,170,35
233,170,35,,233,170,35
234,170,35,,234,170,35
235,169,35,,235,169,35
