original_time,a,b,time
2022-5-1 0:00,200.5,40.66,1
2022-5-1 0:00,200,41,2
2022-5-1 0:00,200,41,3
2022-5-1 0:00,200,41,4
2022-5-1 0:00,200,41,5
2022-5-1 0:00,200,41,6
2022-5-1 0:00,200,41,7
2022-5-1 0:00,200,41,8
2022-5-1 0:00,201.2,41,9
2022-5-1 0:00,200.5,41,10
2022-5-1 0:00,200.7,41,11
2022-5-1 0:00,201,41,12
2022-5-1 0:00,200.8,41,13
2022-5-1 0:00,200.2,41,14
2022-5-1 0:00,200.3,41,15
2022-5-1 0:00,200,41,16
2022-5-1 0:00,200,41,17
2022-5-1 0:00,199.5,41,18
2022-5-1 0:00,200.1,41,19
2022-5-1 0:00,199.7,41,20
2022-5-1 0:00,199.2,41,21
2022-5-1 0:00,198.6,41,22
2022-5-1 0:00,199.2,41,23
2022-5-1 0:00,199.3,41,24
2022-5-1 0:00,199,41,25
2022-5-1 0:00,199,41,26
2022-5-1 0:00,199,41,27
2022-5-1 0:00,200.4,40.77,28
2022-5-1 0:00,200.5,41,29
2022-5-1 0:00,200,41,30
2022-5-1 0:00,201.3,41,31
2022-5-1 0:00,201.5,41,32
2022-5-1 0:00,200.6,40.75,33
2022-5-1 0:00,200.5,41,34
2022-5-1 0:00,200,41,35
2022-5-1 0:00,200,41,36
2022-5-1 0:00,201.5,41,37
2022-5-1 0:00,201,41,38
2022-5-1 0:00,200.8,41,39
2022-5-1 0:00,201.5,41,40
2022-5-1 0:00,200.5,41,41
2022-5-1 0:00,200.2,41,42
2022-5-1 0:00,201.6,41,43
2022-5-1 0:00,202,41,44
2022-5-1 0:00,202,41,45
2022-5-1 0:00,202,41,46
2022-5-1 0:00,202.1,41,47
2022-5-1 0:00,202,41,48
2022-5-1 0:00,201.3,41,49
2022-5-1 0:00,201.1,41,50
2022-5-1 0:00,200.5,41,51
2022-5-1 0:00,201.5,41,52
2022-5-1 0:00,202.2,41,53
2022-5-1 0:00,202,41,54
2022-5-1 0:00,202,41,55
2022-5-1 0:00,202.1,41,56
2022-5-1 0:00,201.5,41,57
2022-5-1 0:00,201.6,41,58
2022-5-1 0:00,201.7,40.77,59
2022-5-1 0:00,200.1,41,60
2022-5-1 0:01,201,40.75,61
2022-5-1 0:01,200.5,41,62
2022-5-1 0:01,200,41,63
2022-5-1 0:01,200,41,64
2022-5-1 0:01,200,41,65
2022-5-1 0:01,201.1,41,66
2022-5-1 0:01,200.8,41,67
2022-5-1 0:01,201.4,41,68
2022-5-1 0:01,201.7,41,69
2022-5-1 0:01,202,41,70
2022-5-1 0:01,201.9,41,71
2022-5-1 0:01,202.6,41,72
2022-5-1 0:01,203,41,73
2022-5-1 0:01,203,41,74
2022-5-1 0:01,203,41,75
2022-5-1 0:01,202.4,41,76
2022-5-1 0:01,202.6,41,77
2022-5-1 0:01,201.7,41,78
2022-5-1 0:01,202,41,79
2022-5-1 0:01,201.6,41,80
2022-5-1 0:01,202.1,41,81
2022-5-1 0:01,201.4,40.77,82
2022-5-1 0:01,201,41,83
2022-5-1 0:01,201,41,84
2022-5-1 0:01,202.1,41,85
2022-5-1 0:01,202.4,41,86
2022-5-1 0:01,202.1,40.75,87
2022-5-1 0:01,202.6,41,88
2022-5-1 0:01,203,41,89
2022-5-1 0:01,203,41,90
2022-5-1 0:01,202.9,41,91
2022-5-1 0:01,203,41,92
2022-5-1 0:01,203,41,93
2022-5-1 0:01,203,41,94
2022-5-1 0:01,202.8,41,95
2022-5-1 0:01,203.7,41,96
2022-5-1 0:01,203.1,41,97
2022-5-1 0:01,202.7,41,98
2022-5-1 0:01,203,41,99
2022-5-1 0:01,202.9,41,100
2022-5-1 0:01,203,41,101
2022-5-1 0:01,203,41,102
2022-5-1 0:01,203,41,103
2022-5-1 0:01,202.3,41,104
2022-5-1 0:01,201.4,41,105
2022-5-1 0:01,202.7,41,106
2022-5-1 0:01,202.2,41,107
2022-5-1 0:01,203.9,40.77,108
2022-5-1 0:01,202.8,40.75,109
2022-5-1 0:01,203.1,41,110
2022-5-1 0:01,203,41,111
2022-5-1 0:01,203,41,112
2022-5-1 0:01,202.4,40.77,113
2022-5-1 0:01,202,41,114
2022-5-1 0:01,203.4,40.75,115
2022-5-1 0:01,203.9,41,116
2022-5-1 0:01,202.5,41,117
2022-5-1 0:01,202.8,41,118
2022-5-1 0:01,203.5,41,119
2022-5-1 0:01,204,41,120
2022-5-1 0:02,203.5,40.75,121
2022-5-1 0:02,202,40.77,122
2022-5-1 0:02,201.9,41,123
2022-5-1 0:02,203.1,40.75,124
2022-5-1 0:02,203,41,125
2022-5-1 0:02,202.9,41,126
2022-5-1 0:02,202.2,41,127
2022-5-1 0:02,202.5,41,128
2022-5-1 0:02,202,41,129
2022-5-1 0:02,202,41,130
2022-5-1 0:02,202,41,131
2022-5-1 0:02,201.5,41,132
2022-5-1 0:02,202.5,40.77,133
2022-5-1 0:02,201.9,41,134
2022-5-1 0:02,202.2,41,135
2022-5-1 0:02,201.4,40.75,136
2022-5-1 0:02,201.2,41,137
2022-5-1 0:02,201,41,138
2022-5-1 0:02,201,41,139
2022-5-1 0:02,201,41,140
2022-5-1 0:02,201.9,41,141
2022-5-1 0:02,202,41,142
2022-5-1 0:02,201.8,40.77,143
2022-5-1 0:02,202,41,144
2022-5-1 0:02,201.9,41,145
2022-5-1 0:02,200.7,40.75,146
2022-5-1 0:02,201.2,41,147
2022-5-1 0:02,201,41,148
2022-5-1 0:02,201,41,149
2022-5-1 0:02,201,41,150
2022-5-1 0:02,200.6,41,151
2022-5-1 0:02,200.8,41,152
2022-5-1 0:02,201,41,153
2022-5-1 0:02,200.9,41,154
2022-5-1 0:02,200.6,40.77,155
2022-5-1 0:02,200.7,40.75,156
2022-5-1 0:02,202.1,41,157
2022-5-1 0:02,202,41,158
2022-5-1 0:02,202,41,159
2022-5-1 0:02,201.8,41,160
2022-5-1 0:02,202.6,41,161
2022-5-1 0:02,202.7,41,162
2022-5-1 0:02,203,41,163
2022-5-1 0:02,203,41,164
2022-5-1 0:02,203,41,165
2022-5-1 0:02,202,41,166
2022-5-1 0:02,200.8,41,167
2022-5-1 0:02,201,41,168
2022-5-1 0:02,201,41,169
2022-5-1 0:02,201.4,41,170
2022-5-1 0:02,201.3,41,171
2022-5-1 0:02,202.3,41,172
2022-5-1 0:02,203,41,173
2022-5-1 0:02,203.4,41,174
2022-5-1 0:02,204.5,41,175
2022-5-1 0:02,202.4,41,176
2022-5-1 0:02,202,41,177
2022-5-1 0:02,202,41,178
2022-5-1 0:02,201.8,41,179
2022-5-1 0:02,202,41,180
2022-5-1 0:03,203,40.75,181
2022-5-1 0:03,204.1,41,182
2022-5-1 0:03,204,41,183
2022-5-1 0:03,203.5,41,184
2022-5-1 0:03,203.1,41,185
2022-5-1 0:03,202.6,41,186
2022-5-1 0:03,203,41,187
2022-5-1 0:03,202.8,41,188
2022-5-1 0:03,203.6,40.77,189
2022-5-1 0:03,204.3,41,190
2022-5-1 0:03,204,41,191
2022-5-1 0:03,203.3,40.75,192
2022-5-1 0:03,202.6,40,193
2022-5-1 0:03,202.8,39.01,194
2022-5-1 0:03,203,39,195
2022-5-1 0:03,203,39,196
2022-5-1 0:03,203,39,197
2022-5-1 0:03,196.5,37.16,198
2022-5-1 0:03,188.4,36.21,199
2022-5-1 0:03,188,36,200
2022-5-1 0:03,182.8,35.91,201
2022-5-1 0:03,178.8,35.63,202
2022-5-1 0:03,176.3,35.5,203
2022-5-1 0:03,175.7,35.48,204
2022-5-1 0:03,176,35,205
2022-5-1 0:03,176,35,206
