时间,#1机有功测值.测值,#1机导叶开度.测值
2022-05-01 00:00:00,200.5,40.66
2022-05-01 00:00:01,200.0,41.0
2022-05-01 00:00:02,200.0,41.0
2022-05-01 00:00:03,200.0,41.0
2022-05-01 00:00:04,200.0,41.0
2022-05-01 00:00:05,200.0,41.0
2022-05-01 00:00:06,200.0,41.0
2022-05-01 00:00:07,200.0,41.0
2022-05-01 00:00:08,201.2,41.0
2022-05-01 00:00:09,200.5,41.0
2022-05-01 00:00:10,200.7,41.0
2022-05-01 00:00:11,201.0,41.0
2022-05-01 00:00:12,200.8,41.0
2022-05-01 00:00:13,200.2,41.0
2022-05-01 00:00:14,200.3,41.0
2022-05-01 00:00:15,200.0,41.0
2022-05-01 00:00:16,200.0,41.0
2022-05-01 00:00:17,199.5,41.0
2022-05-01 00:00:18,200.1,41.0
2022-05-01 00:00:19,199.7,41.0
2022-05-01 00:00:20,199.2,41.0
2022-05-01 00:00:21,198.6,41.0
2022-05-01 00:00:22,199.2,41.0
2022-05-01 00:00:23,199.3,41.0
2022-05-01 00:00:24,199.0,41.0
2022-05-01 00:00:25,199.0,41.0
2022-05-01 00:00:26,199.0,41.0
2022-05-01 00:00:27,200.4,40.77
2022-05-01 00:00:28,200.5,41.0
2022-05-01 00:00:29,200.0,41.0
2022-05-01 00:00:30,201.3,41.0
2022-05-01 00:00:31,201.5,41.0
2022-05-01 00:00:32,200.6,40.75
2022-05-01 00:00:33,200.5,41.0
2022-05-01 00:00:34,200.0,41.0
2022-05-01 00:00:35,200.0,41.0
2022-05-01 00:00:36,201.5,41.0
2022-05-01 00:00:37,201.0,41.0
2022-05-01 00:00:38,200.8,41.0
2022-05-01 00:00:39,201.5,41.0
2022-05-01 00:00:40,200.5,41.0
2022-05-01 00:00:41,200.2,41.0
2022-05-01 00:00:42,201.6,41.0
2022-05-01 00:00:43,202.0,41.0
2022-05-01 00:00:44,202.0,41.0
2022-05-01 00:00:45,202.0,41.0
2022-05-01 00:00:46,202.1,41.0
2022-05-01 00:00:47,202.0,41.0
2022-05-01 00:00:48,201.3,41.0
2022-05-01 00:00:49,201.1,41.0
2022-05-01 00:00:50,200.5,41.0
2022-05-01 00:00:51,201.5,41.0
2022-05-01 00:00:52,202.2,41.0
2022-05-01 00:00:53,202.0,41.0
2022-05-01 00:00:54,202.0,41.0
2022-05-01 00:00:55,202.1,41.0
2022-05-01 00:00:56,201.5,41.0
2022-05-01 00:00:57,201.6,41.0
2022-05-01 00:00:58,201.7,40.77
2022-05-01 00:00:59,200.1,41.0
2022-05-01 00:01:00,201.0,40.75
2022-05-01 00:01:01,200.5,41.0
2022-05-01 00:01:02,200.0,41.0
2022-05-01 00:01:03,200.0,41.0
2022-05-01 00:01:04,200.0,41.0
2022-05-01 00:01:05,201.1,41.0
2022-05-01 00:01:06,200.8,41.0
2022-05-01 00:01:07,201.4,41.0
2022-05-01 00:01:08,201.7,41.0
2022-05-01 00:01:09,202.0,41.0
2022-05-01 00:01:10,201.9,41.0
2022-05-01 00:01:11,202.6,41.0
2022-05-01 00:01:12,203.0,41.0
2022-05-01 00:01:13,203.0,41.0
2022-05-01 00:01:14,203.0,41.0
2022-05-01 00:01:15,202.4,41.0
2022-05-01 00:01:16,202.6,41.0
2022-05-01 00:01:17,201.7,41.0
2022-05-01 00:01:18,202.0,41.0
2022-05-01 00:01:19,201.6,41.0
2022-05-01 00:01:20,202.1,41.0
2022-05-01 00:01:21,201.4,40.77
2022-05-01 00:01:22,201.0,41.0
2022-05-01 00:01:23,201.0,41.0
2022-05-01 00:01:24,202.1,41.0
2022-05-01 00:01:25,202.4,41.0
2022-05-01 00:01:26,202.1,40.75
2022-05-01 00:01:27,202.6,41.0
2022-05-01 00:01:28,203.0,41.0
2022-05-01 00:01:29,203.0,41.0
2022-05-01 00:01:30,202.9,41.0
2022-05-01 00:01:31,203.0,41.0
2022-05-01 00:01:32,203.0,41.0
2022-05-01 00:01:33,203.0,41.0
2022-05-01 00:01:34,202.8,41.0
2022-05-01 00:01:35,203.7,41.0
2022-05-01 00:01:36,203.1,41.0
2022-05-01 00:01:37,202.7,41.0
2022-05-01 00:01:38,203.0,41.0
2022-05-01 00:01:39,202.9,41.0
2022-05-01 00:01:40,203.0,41.0
2022-05-01 00:01:41,203.0,41.0
2022-05-01 00:01:42,203.0,41.0
2022-05-01 00:01:43,202.3,41.0
2022-05-01 00:01:44,201.4,41.0
2022-05-01 00:01:45,202.7,41.0
2022-05-01 00:01:46,202.2,41.0
2022-05-01 00:01:47,203.9,40.77
2022-05-01 00:01:48,202.8,40.75
2022-05-01 00:01:49,203.1,41.0
2022-05-01 00:01:50,203.0,41.0
2022-05-01 00:01:51,203.0,41.0
2022-05-01 00:01:52,202.4,40.77
2022-05-01 00:01:53,202.0,41.0
2022-05-01 00:01:54,203.4,40.75
2022-05-01 00:01:55,203.9,41.0
2022-05-01 00:01:56,202.5,41.0
2022-05-01 00:01:57,202.8,41.0
2022-05-01 00:01:58,203.5,41.0
2022-05-01 00:01:59,204.0,41.0
2022-05-01 00:02:00,203.5,40.75
2022-05-01 00:02:01,202.0,40.77
2022-05-01 00:02:02,201.9,41.0
2022-05-01 00:02:03,203.1,40.75
2022-05-01 00:02:04,203.0,41.0
2022-05-01 00:02:05,202.9,41.0
2022-05-01 00:02:06,202.2,41.0
2022-05-01 00:02:07,202.5,41.0
2022-05-01 00:02:08,202.0,41.0
2022-05-01 00:02:09,202.0,41.0
2022-05-01 00:02:10,202.0,41.0
2022-05-01 00:02:11,201.5,41.0
2022-05-01 00:02:12,202.5,40.77
2022-05-01 00:02:13,201.9,41.0
2022-05-01 00:02:14,202.2,41.0
2022-05-01 00:02:15,201.4,40.75
2022-05-01 00:02:16,201.2,41.0
2022-05-01 00:02:17,201.0,41.0
2022-05-01 00:02:18,201.0,41.0
2022-05-01 00:02:19,201.0,41.0
2022-05-01 00:02:20,201.9,41.0
2022-05-01 00:02:21,202.0,41.0
2022-05-01 00:02:22,201.8,40.77
2022-05-01 00:02:23,202.0,41.0
2022-05-01 00:02:24,201.9,41.0
2022-05-01 00:02:25,200.7,40.75
2022-05-01 00:02:26,201.2,41.0
2022-05-01 00:02:27,201.0,41.0
2022-05-01 00:02:28,201.0,41.0
2022-05-01 00:02:29,201.0,41.0
2022-05-01 00:02:30,200.6,41.0
2022-05-01 00:02:31,200.8,41.0
2022-05-01 00:02:32,201.0,41.0
2022-05-01 00:02:33,200.9,41.0
2022-05-01 00:02:34,200.6,40.77
